ColumnName,ColumnType
Cell_Mean_droplets_AreaShape_Area,feature
Cell_Mean_droplets_AreaShape_BoundingBoxArea,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMaximum_X,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMaximum_Y,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMinimum_X,feature
Cell_Mean_droplets_AreaShape_BoundingBoxMinimum_Y,feature
Cell_Mean_droplets_AreaShape_Center_X,metadata
Cell_Mean_droplets_AreaShape_Center_Y,metadata
Cell_Mean_droplets_AreaShape_Compactness,feature
Cell_Mean_droplets_AreaShape_ConvexArea,feature
Cell_Mean_droplets_AreaShape_Eccentricity,feature
Cell_Mean_droplets_AreaShape_EquivalentDiameter,feature
Cell_Mean_droplets_AreaShape_EulerNumber,feature
Cell_Mean_droplets_AreaShape_Extent,feature
Cell_Mean_droplets_AreaShape_FormFactor,feature
Cell_Mean_droplets_AreaShape_MajorAxisLength,feature
Cell_Mean_droplets_AreaShape_MaxFeretDiameter,feature
Cell_Mean_droplets_AreaShape_MaximumRadius,feature
Cell_Mean_droplets_AreaShape_MeanRadius,feature
Cell_Mean_droplets_AreaShape_MedianRadius,feature
Cell_Mean_droplets_AreaShape_MinFeretDiameter,feature
Cell_Mean_droplets_AreaShape_MinorAxisLength,feature
Cell_Mean_droplets_AreaShape_Orientation,feature
Cell_Mean_droplets_AreaShape_Perimeter,feature
Cell_Mean_droplets_AreaShape_Solidity,feature
Cell_Mean_droplets_Distance_Centroid_Cell,feature
Cell_Mean_droplets_Intensity_IntegratedIntensityEdge_lipid,feature
Cell_Mean_droplets_Intensity_IntegratedIntensity_lipid,feature
Cell_Mean_droplets_Intensity_LowerQuartileIntensity_lipid,feature
Cell_Mean_droplets_Intensity_MADIntensity_lipid,feature
Cell_Mean_droplets_Intensity_MassDisplacement_lipid,feature
Cell_Mean_droplets_Intensity_MaxIntensityEdge_lipid,feature
Cell_Mean_droplets_Intensity_MaxIntensity_lipid,feature
Cell_Mean_droplets_Intensity_MeanIntensityEdge_lipid,feature
Cell_Mean_droplets_Intensity_MeanIntensity_lipid,feature
Cell_Mean_droplets_Intensity_MedianIntensity_lipid,feature
Cell_Mean_droplets_Intensity_MinIntensityEdge_lipid,feature
Cell_Mean_droplets_Intensity_MinIntensity_lipid,feature
Cell_Mean_droplets_Intensity_StdIntensityEdge_lipid,feature
Cell_Mean_droplets_Intensity_StdIntensity_lipid,feature
Cell_Mean_droplets_Intensity_UpperQuartileIntensity_lipid,feature
Cell_Mean_droplets_Location_CenterMassIntensity_X_lipid,feature
Cell_Mean_droplets_Location_CenterMassIntensity_Y_lipid,feature
Cell_Mean_droplets_Location_CenterMassIntensity_Z_lipid,feature
Cell_Mean_droplets_Location_Center_X,metadata
Cell_Mean_droplets_Location_Center_Y,metadata
Cell_Mean_droplets_Location_Center_Z,metadata
